tanggal,tahun,bulan,week,nama_provinsi,nama_kota,nama_kecamatan,hospitalized,self_isolation,recovered,recovered_delta,total_deaths,total_deaths_delta,total_cases,total_cases_delta,recovery_rate,mortality_rate
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,52,0,2448,,66,,2566,,0.15308611093740229,4.1273216184103557E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,102,0,2523,,43,,2668,,0.16141001855287571,2.7509436376431449E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,116,0,3603,,76,,3795,,0.17207125459668562,3.6295907158890111E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA UTARA,CILINCING,51,0,3431,,71,,3553,,0.16342764599409354,3.3819186434219301E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,64,0,2136,,44,,2244,,0.1349166245578575,2.7791814047498737E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA UTARA,KOJA,78,0,3705,,77,,3860,,0.19795896559093823,4.1141269502030352E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,35,0,1976,,41,,2052,,0.13235097119892833,2.7461486939048896E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,117,0,2724,,59,,2900,,0.14618439411827841,3.1662552323709348E-3
2021-01-02,2021,January,1,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,130,0,4655,,99,,4884,,0.15320059239756459,3.2581866052328453E-3
2021-01-02,2021,January,1,DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU SELATAN,0,0,67,,1,,68,,5.9239610963748898E-2,8.8417329796640137E-4
2021-01-02,2021,January,1,DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU UTARA,4,0,74,,0,,78,,6.3356164383561647E-2,0
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,158,0,5689,422,136,6,5983,398,0.18683700614141679,4.4664849420342212E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,130,0,3268,683,76,11,3474,692,0.16933519871495933,3.9380278770920771E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA BARAT,KALI DERES,95,0,3093,221,77,6,3265,234,0.13969558737184409,3.4777110338286435E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,173,0,4357,317,95,1,4625,374,0.17017537007381947,3.7105026754677187E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,113,0,3502,302,54,8,3669,333,0.16408958860462938,2.530222097272983E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA BARAT,PALMERAH,140,0,3472,224,87,5,3699,286,0.15186108559681583,3.8052748983073087E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,54,0,1799,113,31,2,1884,131,0.18439934399343993,3.1775317753177531E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA BARAT,TAMBORA,91,0,2366,157,65,1,2522,155,0.18015685677301455,4.9493641970608394E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,42,0,2252,173,39,1,2333,172,0.14748837513917087,2.5541947737245398E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,41,0,1867,131,36,2,1944,130,0.18234202558843637,3.5159683562847933E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,45,0,2010,99,67,2,2122,121,0.16285853184248905,5.4286177280829691E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,85,0,4025,238,99,2,4209,247,0.1643393761228156,4.0421362077413033E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA PUSAT,MENTENG,19,0,1505,95,33,0,1557,89,0.17581775700934579,3.8551401869158877E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,56,0,1733,96,42,2,1831,108,0.16096971948727476,3.9011703511053317E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA PUSAT,SENEN,44,0,2095,149,46,1,2185,151,0.15140565151405652,3.3244200332442002E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,53,0,2869,200,65,1,2987,195,0.19010071561091968,4.306917572223695E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,69,0,3108,220,53,2,3230,236,0.14445064138315672,2.4632831381297638E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,144,0,3793,334,67,6,4004,421,0.15650272322165373,2.7644825878857899E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,84,0,2387,166,37,2,2508,207,0.13871455137145514,2.1501627150162716E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,109,0,3709,249,74,1,3892,283,0.1868513853904282,3.7279596977329976E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,34,0,2512,163,46,3,2592,158,0.1721019457385585,3.1515483694162785E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,88,0,2386,191,43,2,2517,216,0.16943615963641528,3.0535435307484731E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,133,0,4177,399,85,5,4395,444,0.16220729292066327,3.3008426857209427E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,92,0,2814,274,50,1,2956,312,0.14223615042458551,2.5272947836635666E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,102,0,2158,125,41,1,2301,185,0.16174486583720582,3.0730025483435767E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA SELATAN,TEBET,67,0,3190,235,75,4,3332,256,0.18685567010309279,4.3931583880037492E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,137,0,5024,419,85,3,5246,468,0.1795824992851015,3.0383185587646556E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,138,0,3721,637,42,2,3901,704,0.15819233058413401,1.7855624521724343E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,111,0,3382,332,68,7,3561,378,0.14538107724713065,2.923096763100202E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,160,0,5336,469,129,10,5625,534,0.20032285918083867,4.8428877125802454E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,82,0,3963,260,67,4,4112,264,0.2175679385122152,3.6782871259950591E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,138,0,3885,280,86,4,4109,357,0.16663807154499444,3.6887706957193104E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,200,0,3194,262,58,3,3452,333,0.18357376860739122,3.333524915225013E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,91,0,2698,250,69,3,2858,292,0.1617118197075042,4.1356988731719013E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,160,0,2766,243,47,4,2973,305,0.17126934984520123,2.910216718266254E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,140,0,3900,297,82,6,4122,327,0.17597689739193215,3.7000270733688295E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA UTARA,CILINCING,74,0,3681,250,77,6,3832,279,0.16883772130997157,3.5317860746720484E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,95,0,2306,170,45,1,2446,202,0.14098801662998289,2.7512839325018342E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA UTARA,KOJA,83,0,3966,261,78,1,4127,267,0.20600457095366714,4.0515271140660709E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,51,0,2073,97,41,0,2165,113,0.13590769029043467,2.6879958041041109E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,119,0,2990,266,61,2,3170,270,0.15556711758584807,3.1737773152965662E-3
2021-01-09,2021,January,2,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,140,0,5053,398,105,6,5298,414,0.1586001255492781,3.2956685499058382E-3
2021-01-09,2021,January,2,DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU SELATAN,0,0,76,9,1,0,77,9,6.6144473455178418E-2,8.703220191470844E-4
2021-01-09,2021,January,2,DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU UTARA,9,0,94,20,0,0,103,25,7.8008298755186722E-2,0
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,140,0,6267,578,151,15,6558,575,0.1693371882515064,4.0800886270907074E-3
