tanggal,tahun,bulan,minggu,nama_kota,total_recoveries,total_deaths,total_cases,recovery_rate,mortality_rate
2021-08-28,2021,August,4,KEPULAUAN SERIBU,1308,19,9345,0.139967897271268,0.00203317281968967
2021-09-04,2021,September,1,JAKARTA BARAT,142593,2939,664879,0.214464586789476,0.00442035317704424
2021-09-04,2021,September,1,JAKARTA PUSAT,80955,1736,441946,0.183178487869559,0.0039280817113403
2021-09-04,2021,September,1,JAKARTA SELATAN,167606,3264,840768,0.199348690720865,0.00388216487782599
2021-09-04,2021,September,1,JAKARTA TIMUR,205593,4207,911151,0.225640974986583,0.00461723687950735
2021-09-04,2021,September,1,JAKARTA UTARA,100550,1918,573276,0.175395446521396,0.00334568340554986
2021-09-04,2021,September,1,KEPULAUAN SERIBU,1311,19,9395,0.139542309739223,0.0020223523150612
2021-09-11,2021,September,2,JAKARTA BARAT,142931,2961,684245,0.20888862907292,0.00432739735036427
2021-09-11,2021,September,2,JAKARTA PUSAT,81242,1743,456266,0.178058413294,0.0038201400060491
2021-09-11,2021,September,2,JAKARTA SELATAN,168308,3285,870590,0.19332636487899,0.00377330316222332
2021-09-11,2021,September,2,JAKARTA TIMUR,206319,4246,938812,0.219766044745913,0.00452273724664789
2021-09-11,2021,September,2,JAKARTA UTARA,101061,1927,592084,0.170686929557293,0.00325460576539815
2021-09-11,2021,September,2,KEPULAUAN SERIBU,1311,19,9491,0.138130860815509,0.00200189653355811
2021-09-18,2021,September,3,JAKARTA BARAT,143215,3032,701336,0.204203120900681,0.00432317747841263
2021-09-18,2021,September,3,JAKARTA PUSAT,81457,1787,467494,0.174241808451018,0.00382250895198655
2021-09-18,2021,September,3,JAKARTA SELATAN,168845,3393,893195,0.189034869205493,0.00379872256338202
2021-09-18,2021,September,3,JAKARTA TIMUR,206796,4328,962948,0.214753029239377,0.00449453137656447
2021-09-18,2021,September,3,JAKARTA UTARA,101296,1961,607432,0.16676105308907,0.00322834490115766
2021-09-18,2021,September,3,KEPULAUAN SERIBU,1312,19,9650,0.135958549222798,0.00196891191709845
2021-09-25,2021,September,4,JAKARTA BARAT,143416,3068,722782,0.198422207525921,0.00424471002321585
